PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2015,1,Una Noche De Amor,M&s Produccion S.R.L.,Largometraje Con I.N.C.A.A.,5/10/2015,05/10/2015,11 DE SEPTIEMBRE DE 1888 1050,11 DE SEPTIEMBRE DE 1888,1050,PALERMO,COMUNA 14,1426,C1426BKH,"-58,44256476","-34,56839053"
2013,2,Dia De La Madre,48m2 S.A.,Cine Publicitario,28/9/2013,28/09/2013,11 DE SEPTIEMBRE DE 1888 1401,11 DE SEPTIEMBRE DE 1888,1401,BELGRANO,COMUNA 13,1426,C1426BKO,"-58,44554227","-34,5652367"
2014,3,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,30/1/2014,30/01/2014,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP,"-58,4460525","-34,56480077"
2014,4,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,7/2/2014,07/02/2014,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP,"-58,4460525","-34,56480077"
2014,5,Guapas,Pol-ka Producciones S.A.,Programa Televisivo,13/2/2014,13/02/2014,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP,"-58,4460525","-34,56480077"
2011,6,Mueve Tu Cuerpo,Peliculas Cortitas Sa,Cine Publicitario,20/5/2011,20/05/2011,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP,"-58,4460525","-34,56480077"
2013,7,El Patron,Magoya Films Sa,Largometraje Con I.N.C.A.A.,15/8/2013,15/08/2013,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV,"-58,44822029","-34,56226473"
2013,8,El Patron,Magoya Films Sa,Largometraje Con I.N.C.A.A.,24/8/2013,24/08/2013,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV,"-58,44822029","-34,56226473"
2015,9,Infelices,Patagonik Film Group S.A.,Largometraje Nacional,6/11/2015,06/11/2015,11 DE SEPTIEMBRE DE 1888 1790,11 DE SEPTIEMBRE DE 1888,1790,BELGRANO,COMUNA 13,1426,C1426BKV,"-58,44862401","-34,5617927"
2011,10,All In,Bdcine Srl,Largometraje Con I.N.C.A.A.,10/6/2011,10/06/2011,11 DE SEPTIEMBRE DE 1888 1801,11 DE SEPTIEMBRE DE 1888,1801,BELGRANO,COMUNA 13,1428,C1428AIA,"-58,44874106","-34,56149649"
